(Namespace(debug=True, route='gpx/routes/whitchurch-routeA.gpx', track='gpx/tracks/routeA/MotoG3.gpx'),)
(True,)
('gpx/routes/whitchurch-routeA.gpx',)
('gpx/tracks/routeA/MotoG3.gpx',)
track.filename	gpx/tracks/routeA/MotoG3.gpx
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057924, 'lon: ', -1.3205)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057903, 'lon: ', -1.320313)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05788, 'lon: ', -1.320134)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057863, 'lon: ', -1.319964)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057826, 'lon: ', -1.319812)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057808, 'lon: ', -1.319659)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.057767, 'lon: ', -1.319479)
('interval: ', datetime.timedelta(0, 16), 'lat: ', 51.057732, 'lon: ', -1.319321)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.057846, 'lon: ', -1.319268)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057942, 'lon: ', -1.319203)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058066, 'lon: ', -1.319136)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058154, 'lon: ', -1.319096)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058264, 'lon: ', -1.319071)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.058366, 'lon: ', -1.319012)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058383, 'lon: ', -1.318839)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05837, 'lon: ', -1.318697)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058338, 'lon: ', -1.318536)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058312, 'lon: ', -1.318354)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058273, 'lon: ', -1.318157)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05824, 'lon: ', -1.317945)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.0582, 'lon: ', -1.317704)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058154, 'lon: ', -1.317464)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058093, 'lon: ', -1.317259)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058015, 'lon: ', -1.317081)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057953, 'lon: ', -1.316924)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.057908, 'lon: ', -1.316775)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.057998, 'lon: ', -1.316677)
